Grupa maladiilor pentru compensare,Cod DCI,Denumirea Comuna Internationala (DCI),Doza în SI MC,Cod DC,Denumirea comercială (DC),Doza,Forma farmaceutică,Divizarea,Ţara,Firma producătoare,Număr de înregistrare,Data înregistrării,Cod ATC,Cod medicament (Catalogul național de prețuri),is_child_rate,coverage_type,Cod DCI_sec,Cod DC_sec
Pentru tratamentul maladiilor aparatului locomotor,060,ACECLOFENACUM,100,0601001,Aceclofenac-BP,100 mg,comprimate,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26519,10.09.2020,M01AB16,9200900714,False,Partial,,
Pentru tratamentul maladiilor aparatului locomotor,060,ACECLOFENACUM,100,0601002,Airtal,100 mg,comp. film.,N10x6,Ungaria,Gedeon Richter PLC,25086,29.10.2018,M01AB16,0109370013,False,Partial,,
Pentru tratamentul maladiilor aparatului locomotor,060,ACECLOFENACUM,100,0601004,Infenac,100 mg,comp. film.,N10,India,"Tulip Lab Private Limited, India(PROD: Tulip Lab Pvt. Ltd., India; )",26470,10.09.2020,M01AB16,0109370127,False,Partial,,
Pentru tratamentul maladiilor aparatului locomotor,060,ACECLOFENACUM,100,0601005,Diclotol®,100 mg,comp. film.,N10x10,India,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",26264,22.07.2020,M01AB16,0109370080,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,030,ACENOCOUMAROLUM,2,0301001,Trombostop® ,2 mg,comprimate,N10x3,România,"S.C.Terapia S.A., România(PROD: S.C.Terapia S.A., România; )",24510,2018-04-03 00:00:00,B01AA07,100030017,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75,0111008,ASK,75 mg,comp. gastrorez.,N10x3,Republica Belarus,Lekfarm SRL,25868,2019-10-09 00:00:00,B01AC06,108960470.99999999,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75,0111008,ASK,75 mg,comp. gastrorez.,N10x6,Republica Belarus,Lekfarm SRL,25868,2019-10-09 00:00:00,B01AC06,0108960493,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75,0111011,Cardiomagnyl,75 mg,comp. film.,N100,Danemarca,"Takeda Pharma A/S (prod.: Takeda GmbH, Germania; Takeda Pharma A/S, Danemarca; Takeda Pharma Sp. z o.o., Polonia) ",27482,26.01.2022,B01AC06,307260022,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75                                ,0111016,Acard® ,75 mg,comp. gastrorez.,N30,Polonia,"Pharmaceutical Works Polpharma S.A., Polonia; Pharmaceutical Works Polpharma S.A., Polonia",27722,06.05.2022,B01AC06,2006330097,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75                                ,0111016,Acard® ,75 mg,comp. gastrorez.,N30x2,Polonia,"Pharmaceutical Works Polpharma S.A., Polonia; Pharmaceutical Works Polpharma S.A., Polonia",27722,06.05.2022,B01AC06,2006330123,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75                                ,0111017,Sanocard,75 mg,comp. gastrorez.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27784,06.05.2022,B01AC06,9220501769,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75                                ,0111018,Cardiosalin Protec,75 mg,comp. gastrorez.,N10x3,Bulgaria,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",29072,2023-05-26 00:00:00,B01AC06,9230502720,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75                                ,0111013,PROTECARDIN 75 mg comprimate gastrorezistente,75 mg,comp. gastrorez.,N20x2,România,"Biofarm S.A., România(PROD: Biofarm S.A., România; )",23395,13.04.2017,B01AC06,108960828,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-75                                ,0111015,Magnicor,75 mg,comp. gastrorez.,N10x10,Ucraina,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",29482,25.01.2024,B01AC06,109600015,False,Partial,,
